student_id,age,attendance_percentage,math_score,science_score,english_score,overall_score,final_grade
1,14,84.3,42.7,55.4,57.0,53.1,e
2,18,87.8,57.6,68.8,64.8,61.3,d
3,17,65.5,84.8,95.0,79.2,89.6,b
4,16,58.1,44.4,27.5,54.7,41.6,e
5,16,61.0,8.9,32.7,30.0,25.4,f
6,19,69.6,51.5,78.3,63.9,63.5,d
7,14,81.6,41.9,29.4,39.2,39.1,f
8,18,59.4,56.7,60.1,53.4,69.6,d
9,15,89.6,54.1,59.5,38.3,55.2,d
10,14,62.4,71.9,70.4,81.3,69.6,d
11,17,90.5,75.4,82.7,70.8,77.5,c
12,19,96.2,62.0,54.7,58.0,65.0,d
13,18,58.2,75.1,80.5,56.2,73.6,c
14,18,95.9,33.6,26.8,50.0,42.5,e
15,18,85.3,88.1,66.1,70.3,69.3,d
16,18,94.4,66.4,76.9,76.1,73.7,c
17,17,67.3,63.1,46.3,57.1,53.5,e
18,14,93.2,57.2,50.5,54.1,49.8,e
19,19,73.8,38.7,69.9,58.3,59.2,d
20,16,59.5,49.9,53.9,60.4,61.9,d
21,17,99.8,84.9,77.6,77.6,81.3,c
22,16,97.4,76.7,31.9,39.3,55.0,d
23,15,56.2,41.3,35.2,19.9,33.5,f
24,19,72.8,100.0,100.0,100.0,94.6,b
25,18,99.3,38.9,31.2,57.3,41.4,e
26,17,77.4,100.0,87.7,69.3,92.5,b
27,16,74.9,94.6,92.8,86.9,82.5,c
28,18,59.8,42.9,89.9,63.4,75.4,c
29,17,71.0,40.5,44.5,68.1,45.1,e
30,16,74.9,76.1,73.5,71.7,82.6,c
31,16,85.7,79.6,86.0,95.4,90.4,b
32,15,72.5,79.3,82.5,77.4,77.1,c
33,14,81.7,94.5,72.1,84.8,78.8,c
34,17,55.1,60.5,57.4,72.9,62.2,d
35,19,88.2,39.8,39.6,36.5,46.9,e
36,14,50.2,93.1,99.8,100.0,90.4,b
37,19,82.1,45.9,43.5,35.0,42.0,e
38,18,91.3,82.4,73.5,61.7,79.0,c
39,15,88.3,53.5,67.4,61.7,66.5,d
40,17,57.4,78.1,70.0,63.8,65.4,d
41,14,92.2,72.8,72.5,100.0,88.7,b
42,18,54.0,42.8,58.2,60.1,53.9,e
43,18,53.3,31.4,36.4,29.0,23.7,f
44,16,91.1,76.4,56.2,56.4,63.6,d
45,14,59.1,37.5,35.0,54.0,42.3,e
46,19,72.4,77.3,94.5,88.0,83.5,c
47,16,96.8,42.4,29.9,53.9,48.7,e
48,19,60.4,85.1,100.0,100.0,96.3,a
49,18,89.0,31.5,26.9,32.6,37.5,f
